post_id,symbol,stock_name,title,text,truncated,author,user_id,created_at,reply_count,like_count,retweet_count,view_count,fav_count,source,url,crawl_time
263724654,SZ300301,ST长方,,"$*ST长方(SZ300301)$ 周红英这个土豪是谁，敢于拿出四千多万买长方？ 金融界10月9日消息，*ST长方公告，公司控股股东祥平科技持有的公司78,478,085股股份已被司法拍卖。其中，王刚以最高应价竞得祥平科技持有的26,159,361股长方集团股票，共青城长方投资合伙企业（有限合伙）以最高应价竞得祥平科技持有的26,159,362股长方集团股票，周红英以最高应价竞得祥平科技持有的26,159,362股长方集团股票。本次司法拍卖标的物为公司控股股东祥平科技持有的公司股份，占其所持公司股份比例100%，占公司总股本比例9.93%，若本次拍卖过户完成后，祥平科技不再是公司控股股东，公司实际控制权将可能发生变更。本次拍卖结果尚存在一定的不确定性，公司将持续关注该事项的后续进展情况并及时履行信息披露义务。本文源自：金融界AI电报",0,tomdc,9654804196,2023-10-19 02:46:48,0,0,0,45982,0,雪球,https://xueqiu.com/9654804196/263724654,2026-07-08 16:18:40
263729183,SZ300301,ST长方,,$*ST长方(SZ300301)$ 套了不少吧,0,三哥得财,6312684185,2023-10-19 03:05:58,1,0,0,42057,0,Android,https://xueqiu.com/6312684185/263729183,2026-07-08 16:18:40
263868903,SZ300301,ST长方,,$*ST美尚(SZ300495)$ $*ST长方(SZ300301)$ $ST天龙(SZ300029)$ 再来重温一下300主升浪，300主升浪从来不可能只有一根20cm就走完了，上次300集体冲了一下，很多人就说300行情结束了，实属没有好好研究300，建议加强学习！,0,路由白雲尽,3702663859,2023-10-20 02:07:56,6,7,0,55000,1,iPhone,https://xueqiu.com/3702663859/263868903,2026-07-08 16:18:40
264260416,SZ300301,ST长方,,$*ST长方(SZ300301)$ 今天拍卖，暂时没有人报名,0,tomdc,9654804196,2023-10-24 02:56:45,0,0,0,35221,0,iPhone,https://xueqiu.com/9654804196/264260416,2026-07-08 16:18:40
264406965,SZ300301,ST长方,,$*ST长方(SZ300301)$ 拍卖没人报名，流拍了，短期没戏,0,骑在牛背山爽歪歪,8999045440,2023-10-25 02:42:43,0,3,0,46456,0,Android,https://xueqiu.com/8999045440/264406965,2026-07-08 16:18:40
264484855,SZ300301,ST长方,,*ST长方：关于公司股票交易被实施其他风险警示相关事项的进展公告 网页链接,0,ST长方(SZ300301),0,2023-10-25 11:20:49,0,0,0,6592,0,公告,https://xueqiu.com/S/SZ300301/264484855,2026-07-08 16:18:40
264484862,SZ300301,ST长方,,*ST长方：第四届监事会第二十五次会议决议公告 网页链接,0,ST长方(SZ300301),0,2023-10-25 11:20:50,0,0,0,7666,0,公告,https://xueqiu.com/S/SZ300301/264484862,2026-07-08 16:18:40
264484865,SZ300301,ST长方,,*ST长方：第四届董事会第三十八次会议决议公告 网页链接,0,ST长方(SZ300301),0,2023-10-25 11:20:51,0,0,0,7836,0,公告,https://xueqiu.com/S/SZ300301/264484865,2026-07-08 16:18:40
264484867,SZ300301,ST长方,,*ST长方：关于2023年第三季度报告披露提示性公告 网页链接,0,ST长方(SZ300301),0,2023-10-25 11:20:51,0,0,0,7784,0,公告,https://xueqiu.com/S/SZ300301/264484867,2026-07-08 16:18:40
264484868,SZ300301,ST长方,,*ST长方：2023年三季度报告 网页链接,0,ST长方(SZ300301),0,2023-10-25 11:20:51,0,1,0,8270,0,公告,https://xueqiu.com/S/SZ300301/264484868,2026-07-08 16:18:40
264486420,SZ300301,ST长方,财报速递：*ST长方2023年前三季度净亏损8122.05万元，近五年总体财务状况低于行业平均水平,10月26日，A股上市公司*ST长方（300301）发布2023年前三季度业绩报告。其中，净亏损8122.05万元，亏损同比缩小24.78%。 根据同花顺财务诊断大模型对其本期及过去5年财务数据1200余项财务指标的综合运算及跟踪分析，*ST长方近五年总体财务状况低于行业平均水平。具体而言，现金流、盈利能力、偿债能力、成长能力很弱，资产质量较弱，营运能力良好。 净亏损8122.05万元，亏损同比缩小24.78% 从营收和利润方面看，公司本年度实现营业收入4.51亿元，同比下降23.89%，净亏损8122.05万元，亏损同比减少24.78%，基本每股收益为-0.10元。 从资产方面看，公司报告期内，期末资产总计为8.55亿元，应收账款为1.44亿元；现金流量方面，经营活动产生的现金流量净额为-2605.71万元，销售商品、提供劳务收到的现金为4.32亿元。 财务状况欠佳，存在7项财务风险 根据*ST长方公布的相关财务信息显示，公司存在7个财务风险，具体如下： 指标类型评述收益率净资产收益率平均为-47.49%，公司赚钱能力较差。盈利营业利润率平均为-21.08%，公司盈利能力很弱。营收营收同比增长率平均为-17.34%，公司成长性很低。成长营业利润同比增长率平均为-432.90%，公司成长性较差。偿债流动比率为0.41，短期偿债能力很弱。收益净利润现金含量平均为-84.69%，公司现金流较差。收现主营业务收现比率平均为87.48%，公司现金流很弱。 综合来看，*ST长方总体财务状况低于行业平均水平，当前总评分为1.22分，在所属的光学光电子行业的106家公司中排名靠后。具体而言，现金流、盈利能力、偿债能力、成长能力很弱，资产质量较弱，营运能力良好。 各项指标评分如下： 指标类型上期评分本期评分排名评价营运能力1.773.3037良好资产质量1.951.9865不佳现金流0.140.8589很弱盈利能力0.320.5296很低偿债能力0.680.4298很低成长能力0.140.3899很弱总分0.751.2296低于行业平均水平 关于同花顺财务诊断大模型 同花顺（300033）财务诊断大模型根据公司最新及往期财务数据和行业状况，计算出公司的财务评分、亮点和风险，反映公司已披露的财务状况，但不是对未来财务状况的预测。财务评分区间为0~5分，分数越高说明财务状况越好、对中长期的投资价值越大。财务亮点与风险评述中涉及“平均”关键词的取指标5年平均值，没有“平均”关键词的取最新报告期数据。上述所有信息均基于人工智能算法，仅供参考，不代表同花顺财经观点，投资者据此操作，风险自担。 了解更多该公司的股票诊断信息>>>,0,ST长方(SZ300301),0,2023-10-25 11:31:38,0,0,0,31387,0,新闻,https://xueqiu.com/S/SZ300301/264486420,2026-07-08 16:18:40
264560893,SZ300301,ST长方,,$*ST长方(SZ300301)$ 1.73买入最后一笔，马上买满了，不让买了,0,tomdc,9654804196,2023-10-26 02:56:22,1,1,0,48641,0,雪球,https://xueqiu.com/9654804196/264560893,2026-07-08 16:18:40
